Type,Onset,Duration
TTLin2,2095.500,99.250
TTLin2,4201.000,4.000
TTLin2,4707.500,5.000
TTLin2,5213.250,4.500
TTLin2,5719.500,4.750
TTLin2,6226.000,4.750
TTLin2,6732.750,4.250
TTLin2,7239.000,4.500
TTLin2,7745.750,4.000
TTLin2,8252.500,4.750
TTLin2,8759.250,4.500
TTLin2,9266.000,4.000
TTLin2,9772.250,4.250
TTLin2,10278.250,4.500
TTLin2,10784.250,5.000
TTLin2,11291.000,3.750
TTLin2,11797.500,4.500
TTLin2,12304.000,4.500
TTLin2,12810.500,4.250
TTLin2,13317.250,5.000
TTLin2,13824.000,4.750
TTLin2,16340.250,10.250
TTLin2,16851.750,10.250
TTLin2,17363.750,9.750
TTLin2,17875.500,9.500
TTLin2,18386.750,9.750
TTLin2,18898.500,9.500
TTLin2,19409.750,9.750
TTLin2,19921.000,10.000
TTLin2,20432.500,9.000
TTLin2,20944.000,9.000
TTLin2,21455.750,8.750
TTLin2,21967.500,8.500
TTLin2,22479.250,8.500
TTLin2,22991.000,8.250
TTLin2,23502.750,9.000
TTLin2,24014.250,9.000
TTLin2,24525.750,9.000
TTLin2,25037.250,9.000
TTLin2,25549.000,9.750
TTLin2,26060.250,10.000
TTLin2,28578.000,19.250
TTLin2,29099.500,18.500
TTLin2,29620.500,20.250
TTLin2,30141.500,20.000
TTLin2,30663.250,20.000
TTLin2,31184.500,19.500
TTLin2,31705.750,19.000
TTLin2,32227.500,20.000
TTLin2,32749.500,19.750
TTLin2,33271.500,18.500
TTLin2,33793.250,18.750
TTLin2,34315.000,18.750
TTLin2,34836.750,19.750
TTLin2,35358.750,19.500
TTLin2,35880.000,19.000
TTLin2,36402.000,18.750
TTLin2,36924.000,19.500
TTLin2,37445.750,19.500
TTLin2,37967.500,19.500
TTLin2,38489.250,18.500
TTLin2,41020.500,9.000
TTLin1,41020.500,9.000
TTLin2,41532.000,9.000
TTLin1,41532.000,9.000
TTLin2,42043.250,8.250
TTLin1,42043.250,8.250
TTLin2,42553.750,8.250
TTLin1,42553.750,8.250
TTLin2,43065.250,8.250
TTLin1,43065.250,8.250
TTLin2,43576.250,9.000
TTLin1,43576.250,9.000
TTLin2,44088.000,8.750
TTLin1,44088.000,8.750
TTLin2,44599.500,9.750
TTLin1,44599.500,9.750
TTLin2,45111.250,9.500
TTLin1,45111.250,9.500
TTLin2,45622.500,9.750
TTLin1,45622.500,9.750
TTLin2,46133.500,10.250
TTLin1,46133.500,10.250
TTLin2,46645.250,10.000
TTLin1,46645.250,10.000
TTLin2,47157.000,9.750
TTLin1,47157.000,9.750
TTLin2,47668.750,9.500
TTLin1,47668.750,9.500
TTLin2,48179.750,10.000
TTLin1,48179.750,10.000
TTLin2,48691.500,10.000
TTLin1,48691.500,10.000
TTLin2,49203.250,9.750
TTLin1,49203.250,9.750
TTLin2,49715.000,9.500
TTLin1,49715.000,9.500
TTLin2,50225.750,10.250
TTLin1,50225.750,10.250
TTLin2,50737.750,9.750
TTLin1,50737.750,9.750
