condition,trial,host_write_us,host_recv_us,dev_rise_us,n_events,overflow
idle,0,2182940.216,2186703.315,3281388,1,false
idle,1,2203941.549,2207125.818,3302276,1,false
idle,2,2224540.986,2227648.554,3322848,1,false
idle,3,2244919.750,2248167.827,3343208,1,false
idle,4,2265359.693,2268675.994,3363628,1,false
idle,5,2285856.451,2289221.722,3384108,1,false
idle,6,2306418.459,2309488.619,3404652,1,false
idle,7,2326707.215,2329957.466,3424916,1,false
idle,8,2347147.687,2350442.704,3445344,1,false
idle,9,2367606.679,2371105.263,3465776,1,false
idle,10,2388313.055,2391626.817,3486456,1,false
idle,11,2408843.294,2411964.993,3506964,1,false
idle,12,2429185.634,2432431.222,3527296,1,false
idle,13,2449602.130,2452930.060,3547696,1,false
idle,14,2470141.479,2473455.970,3568212,1,false
idle,15,2490665.708,2493980.144,3588712,1,false
idle,16,2511154.662,2514330.368,3609184,1,false
idle,17,2531525.570,2534832.392,3629532,1,false
idle,18,2552010.413,2555399.099,3650008,1,false
idle,19,2572632.102,2575798.495,3670584,1,false
idle,20,2592969.727,2596287.225,3690972,1,false
idle,21,2613520.886,2616750.403,3711452,1,false
idle,22,2633959.797,2637103.641,3731940,1,false
idle,23,2654288.698,2657730.463,3752176,1,false
idle,24,2674947.543,2678197.249,3772816,1,false
idle,25,2695376.319,2698698.963,3793228,1,false
idle,26,2715921.628,2719160.934,3813748,1,false
idle,27,2736357.650,2739572.068,3834164,1,false
idle,28,2756741.145,2760042.041,3854524,1,false
idle,29,2777215.149,2780511.089,3874984,1,false
idle,30,2797703.785,2801084.184,3895456,1,false
idle,31,2818293.432,2821981.913,3916024,1,false
idle,32,2839267.937,2842115.062,3936976,1,false
idle,33,2860328.190,2862559.390,3958012,1,false
idle,34,2880779.902,2882906.310,3978452,1,false
idle,35,2901106.170,2903507.461,3998752,1,false
idle,36,2921713.137,2923851.962,4019344,1,false
idle,37,2942048.824,2944459.384,4039652,1,false
idle,38,2962680.878,2964836.637,4060264,1,false
idle,39,2983009.723,2985395.435,4080588,1,false
idle,40,3003575.888,3005865.035,4101128,1,false
idle,41,3024060.923,3026375.438,4121588,1,false
idle,42,3044561.519,3046822.691,4142072,1,false
idle,43,3065049.058,3067341.853,4162540,1,false
idle,44,3085521.352,3087784.117,4182992,1,false
idle,45,3105984.708,3108254.691,4203468,1,false
idle,46,3126430.231,3128719.472,4223852,1,false
idle,47,3146933.506,3149235.566,4244348,1,false
idle,48,3167437.685,3169648.583,4264824,1,false
idle,49,3187821.859,3190130.255,4285184,1,false
idle,50,3208354.704,3210549.568,4305684,1,false
idle,51,3228707.830,3231022.287,4326040,1,false
idle,52,3249176.540,3251499.264,4346484,1,false
idle,53,3269677.337,3272143.963,4366968,1,false
idle,54,3290429.586,3292507.674,4387700,1,false
idle,55,3310692.966,3313016.156,4407944,1,false
idle,56,3331202.668,3333431.471,4428432,1,false
idle,57,3351623.031,3353933.146,4448824,1,false
idle,58,3372118.331,3374407.718,4469304,1,false
idle,59,3392572.640,3394870.509,4489736,1,false
idle,60,3413061.953,3415300.984,4510208,1,false
idle,61,3433535.398,3435733.329,4530668,1,false
idle,62,3453871.186,3456233.068,4550976,1,false
idle,63,3474338.255,3476771.554,4571428,1,false
idle,64,3494932.565,3497206.774,4592004,1,false
idle,65,3515346.352,3517685.563,4612396,1,false
idle,66,3535855.683,3538262.526,4632888,1,false
idle,67,3556430.279,3558720.458,4653432,1,false
idle,68,3576877.012,3579205.057,4673860,1,false
idle,69,3597334.559,3599641.906,4694304,1,false
idle,70,3617830.133,3620200.001,4714772,1,false
idle,71,3638378.819,3640568.635,4735304,1,false
idle,72,3658751.566,3661093.271,4755664,1,false
idle,73,3679280.324,3681506.922,4776168,1,false
idle,74,3699671.312,3701991.807,4796540,1,false
idle,75,3720180.228,3722478.380,4817024,1,false
idle,76,3740641.290,3743065.598,4837468,1,false
idle,77,3761276.388,3763440.593,4858084,1,false
idle,78,3781619.798,3783925.538,4878408,1,false
idle,79,3802135.160,3804404.264,4898900,1,false
idle,80,3822715.329,3824980.287,4919464,1,false
idle,81,3843219.854,3845438.454,4939940,1,false
idle,82,3863697.471,3865948.868,4960400,1,false
idle,83,3884183.803,3886422.026,4980868,1,false
idle,84,3904595.875,3906958.310,5001268,1,false
idle,85,3925220.163,3927430.199,5021872,1,false
idle,86,3945633.793,3947938.352,5042260,1,false
idle,87,3966141.549,3968469.891,5062748,1,false
idle,88,3986684.203,3988936.430,5083264,1,false
idle,89,4007141.243,4009363.319,5103712,1,false
idle,90,4027530.371,4029828.187,5124072,1,false
idle,91,4048017.431,4050272.955,5144548,1,false
idle,92,4068475.150,4070818.685,5164980,1,false
idle,93,4089144.924,4091105.351,5185636,1,false
idle,94,4109292.118,4111564.793,5205760,1,false
idle,95,4129741.876,4132091.302,5226184,1,false
idle,96,4150281.730,4152518.152,5246708,1,false
idle,97,4170691.292,4172991.168,5267096,1,false
idle,98,4191164.019,4193507.475,5287548,1,false
idle,99,4211684.344,4214041.419,5308052,1,false
idle,100,4232229.451,4234521.154,5328576,1,false
idle,101,4252688.816,4255012.057,5349012,1,false
idle,102,4273188.102,4275576.048,5369496,1,false
idle,103,4293741.767,4296068.653,5390028,1,false
idle,104,4314254.822,4316456.584,5410516,1,false
idle,105,4334613.086,4336947.096,5430856,1,false
idle,106,4355126.035,4357404.746,5451352,1,false
idle,107,4375566.448,4377917.068,5471776,1,false
idle,108,4396113.681,4398501.383,5492300,1,false
idle,109,4416722.909,4418948.470,5512884,1,false
idle,110,4437151.018,4439378.963,5533304,1,false
idle,111,4457551.188,4459988.983,5553676,1,false
idle,112,4478238.957,4480328.794,5574340,1,false
idle,113,4498522.289,4500701.066,5594608,1,false
idle,114,4518900.749,4521276.784,5614964,1,false
idle,115,4539438.264,4541615.620,5635488,1,false
idle,116,4559805.192,4562234.051,5655832,1,false
idle,117,4580413.071,4582740.438,5676420,1,false
idle,118,4600957.996,4603354.767,5697008,1,false
idle,119,4621557.094,4623815.313,5717520,1,false
idle,120,4642055.674,4644356.465,5738000,1,false
idle,121,4662563.789,4664756.653,5758488,1,false
idle,122,4682967.439,4685209.060,5778924,1,false
idle,123,4703461.260,4705737.830,5799348,1,false
idle,124,4723990.809,4726109.893,5819884,1,false
idle,125,4744328.192,4746497.916,5840172,1,false
idle,126,4764693.296,4767003.967,5860520,1,false
idle,127,4785173.396,4787435.475,5880984,1,false
idle,128,4805584.624,4807960.916,5901364,1,false
idle,129,4826128.839,4828512.342,5921888,1,false
idle,130,4847152.752,4849421.082,5942900,1,false
idle,131,4867658.767,4869661.167,5963388,1,false
idle,132,4887866.947,4889944.554,5983576,1,false
idle,133,4908149.177,4910533.839,6003836,1,false
idle,134,4928736.456,4930922.684,6024404,1,false
idle,135,4949118.455,4951373.374,6044768,1,false
idle,136,4969633.369,4971786.684,6065264,1,false
idle,137,4989990.235,4992318.857,6085620,1,false
idle,138,5010519.252,5012813.622,6106104,1,false
idle,139,5031042.233,5033381.282,6126612,1,false
idle,140,5051868.936,5054246.835,6147416,1,false
idle,141,5072902.611,5074720.811,6168424,1,false
idle,142,5092929.667,5094772.923,6188436,1,false
idle,143,5114010.246,5115376.027,6209500,1,false
idle,144,5134571.262,5139779.722,6230044,1,false
idle,145,5155026.180,5160383.383,6250472,1,false
idle,146,5175881.375,5180843.588,6271300,1,false
idle,147,5196076.965,5201194.667,6291480,1,false
idle,148,5216426.935,5217632.126,6311812,1,false
idle,149,5236841.320,5238163.610,6332208,1,false
idle,150,5257762.182,5262768.471,6353108,1,false
idle,151,5278262.707,5283352.463,6373584,1,false
idle,152,5298679.851,5303636.724,6393980,1,false
idle,153,5318835.639,5323989.176,6414120,1,false
idle,154,5339201.642,5340450.009,6434468,1,false
idle,155,5359765.088,5360964.767,6455008,1,false
idle,156,5380229.116,5381402.232,6475448,1,false
idle,157,5400598.188,5401826.825,6495800,1,false
idle,158,5421101.838,5422428.954,6516288,1,false
idle,159,5441641.568,5442887.350,6536804,1,false
idle,160,5462135.552,5463386.288,6557284,1,false
idle,161,5482583.977,5483844.884,6577704,1,false
idle,162,5503076.416,5504414.939,6598180,1,false
idle,163,5523695.462,5529048.114,6618776,1,false
idle,164,5544345.610,5549387.127,6639384,1,false
idle,165,5564601.389,5569956.823,6659644,1,false
idle,166,5585175.712,5590320.684,6680204,1,false
idle,167,5605525.640,5606807.340,6700532,1,false
idle,168,5626067.925,5631189.882,6721052,1,false
idle,169,5646435.970,5647692.336,6741396,1,false
idle,170,5666916.513,5668159.922,6761860,1,false
idle,171,5687362.597,5688703.324,6782288,1,false
idle,172,5707919.533,5713932.217,6802840,1,false
idle,173,5728482.156,5734122.424,6823364,1,false
idle,174,5749509.212,5754142.388,6844380,1,false
idle,175,5770363.345,5774665.489,6865204,1,false
idle,176,5790923.971,5795153.699,6885760,1,false
idle,177,5811396.189,5815657.372,6906196,1,false
idle,178,5831915.463,5836007.370,6926696,1,false
idle,179,5852215.413,5856631.900,6946984,1,false
idle,180,5872857.519,5877043.150,6967596,1,false
idle,181,5893297.579,5897356.419,6988016,1,false
idle,182,5913716.812,5917893.420,7008416,1,false
idle,183,5934063.335,5938375.686,7028752,1,false
idle,184,5954524.926,5959384.200,7049188,1,false
idle,185,5975613.252,5979529.619,7070256,1,false
idle,186,5995662.378,5999831.055,7090284,1,false
idle,187,6015998.060,6020317.285,7110616,1,false
idle,188,6036483.724,6040698.552,7131060,1,false
idle,189,6056957.807,6061420.533,7151584,1,false
idle,190,6077623.246,6081912.156,7172168,1,false
idle,191,6098098.792,6102203.850,7192620,1,false
idle,192,6118338.989,6122721.336,7212848,1,false
idle,193,6138873.308,6143229.334,7233360,1,false
idle,194,6159337.563,6163891.148,7253800,1,false
idle,195,6180391.095,6184382.941,7274832,1,false
idle,196,6200610.383,6204838.777,7295028,1,false
idle,197,6221016.107,6225167.371,7315420,1,false
idle,198,6241331.233,6245511.800,7335704,1,false
idle,199,6261663.910,6266080.132,7356028,1,false
idle,200,6282222.748,6286571.464,7376560,1,false
idle,201,6302714.413,6307261.486,7397040,1,false
idle,202,6323512.538,6327707.894,7417812,1,false
idle,203,6343902.996,6348009.825,7438184,1,false
idle,204,6364173.255,6368383.096,7458436,1,false
idle,205,6384539.348,6388932.867,7478784,1,false
idle,206,6405100.443,6409480.215,7499324,1,false
idle,207,6425727.625,6430171.114,7519928,1,false
idle,208,6446368.613,6450517.222,7540552,1,false
idle,209,6466705.122,6470897.590,7560864,1,false
idle,210,6487051.808,6491393.301,7581196,1,false
idle,211,6507538.604,6512288.054,7601660,1,false
idle,212,6528591.722,6532422.961,7622692,1,false
idle,213,6549641.103,6552919.608,7643724,1,false
idle,214,6570119.198,6573436.958,7664176,1,false
idle,215,6590631.997,6593866.903,7684672,1,false
idle,216,6611079.484,6614392.434,7705100,1,false
idle,217,6631592.801,6634836.407,7725588,1,false
idle,218,6652039.176,6655194.605,7746020,1,false
idle,219,6672354.525,6675628.453,7766308,1,false
idle,220,6692794.469,6696092.761,7786736,1,false
idle,221,6713260.374,6716530.505,7807176,1,false
idle,222,6733703.130,6736992.230,7827604,1,false
idle,223,6754176.341,6757510.227,7848052,1,false
idle,224,6774681.642,6777948.649,7868544,1,false
idle,225,6795157.090,6798432.634,7888992,1,false
idle,226,6815606.651,6818945.796,7909432,1,false
idle,227,6836122.503,6839424.999,7929920,1,false
idle,228,6856613.952,6859867.899,7950392,1,false
idle,229,6877082.648,6880440.343,7970844,1,false
idle,230,6897631.848,6900878.654,7991372,1,false
idle,231,6918091.228,6921418.203,8011816,1,false
idle,232,6938604.153,6941830.514,8032308,1,false
idle,233,6959053.480,6962403.951,8052728,1,false
idle,234,6979565.443,6982805.655,8073236,1,false
idle,235,7000010.219,7003340.511,8093648,1,false
idle,236,7020547.957,7023698.215,8114168,1,false
idle,237,7040854.783,7044370.873,8134460,1,false
idle,238,7061534.993,7064647.511,8155112,1,false
idle,239,7081794.310,7085252.288,8175356,1,false
idle,240,7102451.490,7105929.425,8195992,1,false
idle,241,7123115.038,7126227.467,8216632,1,false
idle,242,7143403.092,7146677.228,8236896,1,false
idle,243,7163844.840,7167146.622,8257328,1,false
idle,244,7184302.826,7187627.859,8277760,1,false
idle,245,7204815.252,7208165.846,8298256,1,false
idle,246,7225331.403,7228654.171,8318752,1,false
idle,247,7245811.241,7249236.502,8339208,1,false
idle,248,7266430.207,7269557.002,8359812,1,false
idle,249,7286746.301,7290205.564,8380104,1,false
idle,250,7307442.793,7310678.952,8400780,1,false
idle,251,7327886.301,7331130.193,8421200,1,false
idle,252,7348363.729,7351652.952,8441668,1,false
idle,253,7368832.965,7372080.826,8462116,1,false
idle,254,7389531.075,7393084.673,8482784,1,false
idle,255,7410541.042,7413362.628,8503784,1,false
idle,256,7431588.097,7433355.792,8524816,1,false
idle,257,7452574.703,7453781.045,8545772,1,false
idle,258,7472922.014,7474223.100,8566108,1,false
idle,259,7493336.379,7494720.988,8586496,1,false
idle,260,7513870.221,7515198.000,8607012,1,false
