condition,trial,host_write_us,host_recv_us,dev_rise_us,n_events,overflow
load,0,2182928.863,2185778.887,3284760,1,false
load,1,2203955.505,2206794.789,3305520,1,false
load,2,2224944.620,2226776.848,3326492,1,false
load,3,2245935.532,2252777.113,3347468,1,false
load,4,2266938.638,2272779.771,3368440,1,false
load,5,2287932.825,2292780.635,3389412,1,false
load,6,2308930.907,2312775.882,3410392,1,false
load,7,2329928.311,2333777.507,3431372,1,false
load,8,2350937.857,2354779.587,3452360,1,false
load,9,2371939.680,2374779.295,3473344,1,false
load,10,2392934.004,2394782.624,3494316,1,false
load,11,2413933.325,2420771.288,3515296,1,false
load,12,2434920.354,2440773.686,3536260,1,false
load,13,2455929.460,2460789.198,3557244,1,false
load,14,2476942.308,2481771.691,3578236,1,false
load,15,2497923.729,2501778.818,3599204,1,false
load,16,2518936.622,2521782.012,3620188,1,false
load,17,2539935.243,2541775.016,3641172,1,false
load,18,2560930.038,2562288.930,3662144,1,false
load,19,2581447.686,2582774.593,3682640,1,false
load,20,2601933.199,2604771.190,3703108,1,false
load,21,2622923.656,2628770.932,3724076,1,false
load,22,2643923.669,2649773.842,3745060,1,false
load,23,2664931.449,2669772.268,3766048,1,false
load,24,2685920.739,2690772.559,3787008,1,false
load,25,2706942.944,2710774.323,3808020,1,false
load,26,2727934.347,2730778.350,3828988,1,false
load,27,2748926.487,2750772.020,3849960,1,false
load,28,2769922.330,2772771.348,3870928,1,false
load,29,2790921.649,2796769.743,3891908,1,false
load,30,2811888.635,2816773.726,3912880,1,false
load,31,2832928.330,2836771.953,3933876,1,false
load,32,2853932.293,2857770.910,3954864,1,false
load,33,2874924.419,2877771.991,3975832,1,false
load,34,2895929.346,2898773.595,3996820,1,false
load,35,2916933.844,2919772.833,4017800,1,false
load,36,2937939.014,2939773.662,4038788,1,false
load,37,2958932.170,2963772.032,4059764,1,false
load,38,2979937.141,2984771.796,4080744,1,false
load,39,3000938.563,3004815.805,4101720,1,false
load,40,3021955.791,3025786.985,4122720,1,false
load,41,3042949.588,3045770.625,4143692,1,false
load,42,3063973.896,3066791.236,4164700,1,false
load,43,3084937.086,3086779.103,4185644,1,false
load,44,3105952.470,3107797.745,4206636,1,false
load,45,3126966.057,3131774.214,4227628,1,false
load,46,3147934.024,3152123.757,4248584,1,false
load,47,3168326.831,3173956.135,4268948,1,false
load,48,3188870.119,3193073.747,4289512,1,false
load,49,3209275.683,3213491.811,4309868,1,false
load,50,3229650.994,3234788.693,4330212,1,false
load,51,3249955.757,3254809.763,4350496,1,false
load,52,3270983.917,3276768.453,4371500,1,false
load,53,3291954.323,3295809.780,4392452,1,false
load,54,3312959.162,3316787.190,4413436,1,false
load,55,3333953.056,3336798.123,4434416,1,false
load,56,3354975.994,3357792.177,4455408,1,false
load,57,3375952.788,3377321.957,4476372,1,false
load,58,3396522.140,3397823.772,4496916,1,false
load,59,3416999.492,3418295.360,4517376,1,false
load,60,3437461.934,3438788.295,4537812,1,false
load,61,3457958.902,3459254.547,4558292,1,false
load,62,3478436.975,3479703.545,4578756,1,false
load,63,3498877.492,3500180.038,4599204,1,false
load,64,3522611.337,3524756.122,4622888,1,false
load,65,3543060.383,3545231.794,4643316,1,false
load,66,3563442.041,3565707.461,4663676,1,false
load,67,3583869.608,3589161.164,4684128,1,false
load,68,3605861.277,3610737.493,4706104,1,false
load,69,3625885.534,3632776.829,4726084,1,false
load,70,3645904.915,3647633.687,4746064,1,false
load,71,3666825.708,3668788.336,4766960,1,false
load,72,3687022.228,3689770.223,4787132,1,false
load,73,3707981.489,3709778.645,4808072,1,false
load,74,3729023.211,3733776.425,4829092,1,false
load,75,3749975.805,3754778.991,4850028,1,false
load,76,3770967.622,3774772.088,4870992,1,false
load,77,3791957.685,3796776.685,4891964,1,false
load,78,3812992.707,3816773.575,4912984,1,false
load,79,3833938.995,3836475.144,4933904,1,false
load,80,3854651.729,3857772.231,4954600,1,false
load,81,3874947.199,3878771.797,4974876,1,false
load,82,3895940.102,3898641.003,4995848,1,false
load,83,3916814.264,3918776.125,5016720,1,false
load,84,3936947.836,3939085.856,5036812,1,false
load,85,3957307.021,3959636.346,5057152,1,false
load,86,3977804.815,3979786.610,5077632,1,false
load,87,3997986.040,4000644.147,5097796,1,false
load,88,4021857.654,4024528.034,5121688,1,false
load,89,4042715.216,4044966.493,5142484,1,false
load,90,4063122.539,4065396.986,5162868,1,false
load,91,4083555.405,4085929.930,5183280,1,false
load,92,4104095.096,4109769.420,5203800,1,false
load,93,4124955.413,4127792.382,5224640,1,false
load,94,4145955.310,4147774.511,5245620,1,false
load,95,4166938.179,4172983.312,5266580,1,false
load,96,4187152.213,4188276.315,5286784,1,false
load,97,4207436.941,4208758.072,5307044,1,false
load,98,4227936.162,4229247.330,5327520,1,false
load,99,4248377.412,4249730.835,5347936,1,false
load,100,4268885.332,4270200.751,5368452,1,false
load,101,4289398.058,4290676.724,5388928,1,false
load,102,4309809.327,4311164.090,5409324,1,false
load,103,4330317.172,4331663.503,5429804,1,false
load,104,4350800.023,4352164.606,5450264,1,false
load,105,4371317.353,4372798.835,5470760,1,false
load,106,4391950.645,4393786.580,5491372,1,false
load,107,4412935.959,4417770.559,5512336,1,false
load,108,4436869.078,4438788.610,5536280,1,false
load,109,4461801.702,4467412.745,5561160,1,false
load,110,4482580.882,4487786.524,5581916,1,false
load,111,4502971.604,4507789.697,5602288,1,false
load,112,4523945.831,4528279.084,5623244,1,false
load,113,4544465.805,4548728.355,5643740,1,false
load,114,4564874.192,4569214.810,5664160,1,false
load,115,4585339.789,4589692.190,5684572,1,false
load,116,4605863.397,4610577.495,5705124,1,false
load,117,4626751.607,4630633.383,5725948,1,false
load,118,4647751.269,4651134.703,5746924,1,false
load,119,4668275.386,4671664.738,5767432,1,false
load,120,4688803.641,4692775.257,5787932,1,false
load,121,4708966.263,4712771.627,5808080,1,false
load,122,4729947.339,4733468.944,5829040,1,false
load,123,4750862.667,4753864.342,5849984,1,false
load,124,4770999.062,4774290.886,5870056,1,false
load,125,4791421.885,4794770.027,5890456,1,false
load,126,4811940.879,4815785.010,5910952,1,false
load,127,4832943.569,4835788.928,5931932,1,false
load,128,4853945.576,4856178.281,5952912,1,false
load,129,4874310.623,4876785.256,5973260,1,false
load,130,4894947.116,4897793.823,5993884,1,false
load,131,4915954.508,4917781.911,6014864,1,false
load,132,4936940.181,4942768.753,6035828,1,false
load,133,4957933.011,4963792.970,6056800,1,false
load,134,4978938.242,4983781.596,6077788,1,false
load,135,4999938.193,5003771.495,6098768,1,false
load,136,5020923.647,5025764.689,6119728,1,false
load,137,5041869.811,5045778.769,6140688,1,false
load,138,5062943.213,5065791.001,6161712,1,false
load,139,5083949.807,5085774.163,6182696,1,false
load,140,5104935.377,5111778.809,6203660,1,false
load,141,5125932.591,5131781.559,6224636,1,false
load,142,5146953.862,5151772.053,6245636,1,false
load,143,5167930.586,5171774.636,6266600,1,false
load,144,5188935.215,5192775.315,6287580,1,false
load,145,5209931.507,5213785.194,6308552,1,false
load,146,5230965.246,5233773.411,6329568,1,false
load,147,5251928.122,5254774.113,6350508,1,false
load,148,5272944.277,5279775.966,6371504,1,false
load,149,5293938.431,5299775.599,6392484,1,false
load,150,5314945.938,5319783.868,6413472,1,false
load,151,5335941.795,5340784.678,6434444,1,false
load,152,5356937.417,5360775.674,6455416,1,false
load,153,5377940.479,5380779.580,6476400,1,false
load,154,5398946.529,5400771.016,6497384,1,false
load,155,5419926.432,5421771.782,6518348,1,false
