window,phase,host_start_us,pulses,events,overflow
0,drain,0.000,5937,11874,false
1,stall,300043936.112,61,32,true
2,drain,303226370.898,5874,11748,false
3,stall,600084508.450,61,32,true
4,drain,603266856.599,5874,11748,false
5,stall,900125242.892,60,32,true
6,drain,903266656.978,5874,11747,false
7,stall,1200141829.073,60,32,true
8,drain,1203290989.751,5874,11748,false
9,stall,1500149302.685,60,32,true
10,drain,1503286574.108,5875,11750,false
11,stall,1800202160.823,61,32,true
12,drain,1803384609.935,5874,11748,false
13,stall,2100226691.118,60,32,true
14,drain,2103364104.151,5874,11748,false
15,stall,2400263449.466,60,32,true
16,drain,2403404732.258,5873,11746,false
17,stall,2700275877.138,60,32,true
18,drain,2703412818.492,5874,11748,false
19,stall,3000304113.497,60,32,true
20,drain,3003449705.647,5874,11747,false
21,stall,3300328467.353,60,32,true
22,drain,3303465917.724,5867,11734,false
