arm,trial,requested_ms,stall_start_ms,stall_ms,dev_rise_us,dev_fall_us,dev_width_us,n_events
control,0,5,2,20,3200708,3205132,4424.000,2
control,1,5,2,20,3401156,3405836,4680.000,2
control,2,5,2,20,3601608,3606540,4932.000,2
control,3,5,2,20,3801928,3806224,4296.000,2
control,4,5,2,20,4002620,4006928,4308.000,2
control,5,5,2,20,4203040,4207628,4588.000,2
control,6,5,2,20,4403720,4408336,4616.000,2
control,7,5,2,20,4604240,4608012,3772.000,2
control,8,5,2,20,4804656,4809744,5088.000,2
control,9,5,2,20,5005232,5009424,4192.000,2
control,10,5,2,20,5205760,5209100,3340.000,2
control,11,5,2,20,5406328,5410828,4500.000,2
control,12,5,2,20,5606632,5611532,4900.000,2
control,13,5,2,20,5807080,5811216,4136.000,2
control,14,5,2,20,6007596,6011924,4328.000,2
control,15,5,2,20,6207568,6212620,5052.000,2
control,16,5,2,20,6408276,6413324,5048.000,2
control,17,5,2,20,6609120,6614028,4908.000,2
control,18,5,2,20,6809544,6813712,4168.000,2
control,19,5,2,20,7010132,7014412,4280.000,2
control,20,5,2,20,7210520,7214092,3572.000,2
control,21,5,2,20,7410956,7415820,4864.000,2
control,22,5,2,20,7611656,7616528,4872.000,2
control,23,5,2,20,7812152,7817232,5080.000,2
control,24,5,2,20,8012640,8016908,4268.000,2
control,25,5,2,20,8213380,8217616,4236.000,2
control,26,5,2,20,8413972,8418316,4344.000,2
control,27,5,2,20,8614292,8619020,4728.000,2
control,28,5,2,20,8814876,8819724,4848.000,2
control,29,5,2,20,9015292,9019408,4116.000,2
control,30,5,2,20,9215848,9219088,3240.000,2
control,31,5,2,20,9416620,9420820,4200.000,2
control,32,5,2,20,9616868,9621520,4652.000,2
control,33,5,2,20,9817312,9822220,4908.000,2
control,34,5,2,20,10017136,10021908,4772.000,2
control,35,5,2,20,10217328,10221580,4252.000,2
control,36,5,2,20,10417700,10422288,4588.000,2
control,37,5,2,20,10618016,10622988,4972.000,2
control,38,5,2,20,10818664,10823692,5028.000,2
control,39,5,2,20,11019332,11024396,5064.000,2
control,40,5,2,20,11219872,11223052,3180.000,2
control,41,5,2,20,11420120,11424780,4660.000,2
control,42,5,2,20,11620544,11625488,4944.000,2
control,43,5,2,20,11821064,11825164,4100.000,2
control,44,5,2,20,12021836,12026892,5056.000,2
control,45,5,2,20,12221732,12226576,4844.000,2
control,46,5,2,20,12421880,12426256,4376.000,2
control,47,5,2,20,12621876,12626956,5080.000,2
control,48,5,2,20,12822560,12827664,5104.000,2
control,49,5,2,20,13023176,13027340,4164.000,2
split,0,5,2,20,13223704,13245876,22172.000,2
split,1,5,2,20,13424540,13446632,22092.000,2
split,2,5,2,20,13624984,13647084,22100.000,2
split,3,5,2,20,13825844,13848136,22292.000,2
split,4,5,2,20,14026392,14048504,22112.000,2
split,5,5,2,20,14226736,14248856,22120.000,2
split,6,5,2,20,14426916,14449072,22156.000,2
split,7,5,2,20,14627528,14650028,22500.000,2
split,8,5,2,20,14827700,14849916,22216.000,2
split,9,5,2,20,15027620,15050212,22592.000,2
split,10,5,2,20,15228104,15250292,22188.000,2
split,11,5,2,20,15428480,15450704,22224.000,2
split,12,5,2,20,15628984,15651132,22148.000,2
split,13,5,2,20,15829516,15851692,22176.000,2
split,14,5,2,20,16030016,16052244,22228.000,2
split,15,5,2,20,16230632,16252752,22120.000,2
split,16,5,2,20,16430920,16453032,22112.000,2
split,17,5,2,20,16631296,16653416,22120.000,2
split,18,5,2,20,16831876,16853940,22064.000,2
split,19,5,2,20,17032444,17054536,22092.000,2
split,20,5,2,20,17233268,17255652,22384.000,2
split,21,5,2,20,17433256,17455648,22392.000,2
split,22,5,2,20,17633424,17655884,22460.000,2
split,23,5,2,20,17833304,17855756,22452.000,2
split,24,5,2,20,18033312,18055788,22476.000,2
split,25,5,2,20,18233544,18255656,22112.000,2
split,26,5,2,20,18433972,18456084,22112.000,2
split,27,5,2,20,18634332,18656432,22100.000,2
split,28,5,2,20,18834840,18856952,22112.000,2
split,29,5,2,20,19035372,19057540,22168.000,2
split,30,5,2,20,19235540,19258192,22652.000,2
split,31,5,2,20,19436428,19459040,22612.000,2
split,32,5,2,20,19637088,19659180,22092.000,2
split,33,5,2,20,19837500,19859640,22140.000,2
split,34,5,2,20,20037948,20060024,22076.000,2
split,35,5,2,20,20238400,20260492,22092.000,2
split,36,5,2,20,20438680,20460764,22084.000,2
split,37,5,2,20,20638580,20660720,22140.000,2
split,38,5,2,20,20838976,20861116,22140.000,2
split,39,5,2,20,21039548,21061876,22328.000,2
split,40,5,2,20,21239672,21262292,22620.000,2
split,41,5,2,20,21440212,21462576,22364.000,2
split,42,5,2,20,21640712,21662872,22160.000,2
split,43,5,2,20,21841336,21863544,22208.000,2
split,44,5,2,20,22041848,22064028,22180.000,2
split,45,5,2,20,22242476,22264572,22096.000,2
split,46,5,2,20,22442756,22464860,22104.000,2
split,47,5,2,20,22643328,22665412,22084.000,2
split,48,5,2,20,22843768,22865872,22104.000,2
split,49,5,2,20,23044324,23066416,22092.000,2
